file,sub,enum_correct,enum_attempted,soniox_correct,soniox_attempted,engine,machine_correct,machine_attempted,item_agree,n_items,status,enum_correct_29s,soniox_correct_29s
AA_91ecf22b-d335-4de,idwrd_eng,50.0,50.0,10,49,speechace-29s,6,49,0.12244897959183673,49,200,49,8
AA_91ecf22b-d335-4de,orf_eng,58.0,60.0,18,59,speechace-29s,15,42,0.38095238095238093,42,200,57,9
AA_92bdf696-3742-41e,idwrd_eng,20.0,25.0,1,49,speechace-29s,3,26,0.3076923076923077,26,200,44,1
AA_93ae4640-bf92-45b,idwrd_eng,47.0,50.0,24,49,speechace-29s,15,37,0.35135135135135137,37,200,46,23
AA_93ae4640-bf92-45b,orf_eng,57.0,60.0,17,59,speechace-29s,12,32,0.4375,32,200,57,15
AA_94917b5c-07a6-4c5,idwrd_eng,6.0,8.0,0,49,speechace-29s,5,23,0.5217391304347826,23,200,36,1
AA_94917b5c-07a6-4c5,orf_eng,6.0,11.0,2,59,speechace-29s,7,31,0.5161290322580645,31,200,45,3
AA_955704af-dbd7-423,idwrd_eng,0.0,5.0,0,49,speechace-29s,4,36,0.25,36,200,44,0
AA_955704af-dbd7-423,orf_eng,0.0,5.0,2,59,speechace-29s,9,29,0.27586206896551724,29,200,54,2
AA_977bf4d2-d71d-42b,idwrd_eng,42.0,50.0,1,49,speechace-29s,4,17,0.29411764705882354,17,200,41,1
AA_977bf4d2-d71d-42b,orf_eng,51.0,60.0,6,59,speechace-29s,1,16,0.0625,16,200,53,4
AA_98d3878d-7611-485,idwrd_eng,44.0,50.0,8,49,speechace-29s,6,21,0.38095238095238093,21,200,43,8
AA_98d3878d-7611-485,orf_eng,57.0,60.0,46,59,speechace-29s,15,35,0.42857142857142855,35,200,35,29
AA_99ab36ed-ed68-4e9,idwrd_eng,0.0,5.0,1,49,speechace-29s,0,9,0.5555555555555556,9,200,44,1
AA_9d92617a-c53f-43e,idwrd_eng,49.0,50.0,48,49,speechace-29s,29,44,0.6363636363636364,44,200,43,43
AA_9d92617a-c53f-43e,orf_eng,59.0,60.0,58,59,speechace-29s,38,56,0.6964285714285714,56,200,55,55
AA_9f532c2d-d760-4fa,idwrd_eng,47.0,50.0,16,49,speechace-29s,9,49,0.20408163265306123,49,200,46,10
AA_9f532c2d-d760-4fa,orf_eng,54.0,60.0,45,54,speechace-29s,19,48,0.4583333333333333,48,200,45,34
AA_9fd3b07d-cb1e-42b,idwrd_eng,50.0,50.0,40,49,speechace-29s,26,49,0.5306122448979592,49,200,49,35
AA_9fd3b07d-cb1e-42b,orf_eng,60.0,60.0,58,59,speechace-29s,21,43,0.4883720930232558,43,200,43,42
AA_a17b3477-e1fc-411,idwrd_eng,19.0,22.0,1,49,speechace-29s,5,49,0.24489795918367346,49,200,42,1
AA_a17b3477-e1fc-411,orf_eng,30.0,34.0,7,59,speechace-29s,7,28,0.21428571428571427,28,200,54,7
AA_a2bda34a-2d3a-439,idwrd_eng,49.0,50.0,12,49,speechace-29s,3,15,0.2,15,200,18,9
AA_a2bda34a-2d3a-439,orf_eng,56.0,60.0,1,59,speechace-29s,6,21,0.3333333333333333,21,200,55,1
AA_a5440eb3-5034-413,idwrd_eng,47.0,50.0,27,49,speechace-29s,13,31,0.45161290322580644,31,200,30,27
AA_a5440eb3-5034-413,orf_eng,54.0,60.0,43,59,speechace-29s,9,31,0.3548387096774194,31,200,35,21
AA_a81b627e-e833-453,idwrd_eng,47.0,50.0,2,49,speechace-29s,14,24,0.6666666666666666,24,200,46,2
AA_a81b627e-e833-453,orf_eng,50.0,60.0,50,59,speechace-29s,12,32,0.40625,32,200,41,24
AA_a8eef4b9-ab7b-48d,idwrd_eng,1.0,7.0,6,7,speechace-29s,0,7,0.8571428571428571,7,200,1,6
AA_a8f5a4cb-8b11-426,idwrd_eng,29.0,41.0,13,49,speechace-29s,8,25,0.44,25,200,18,9
AA_a8f5a4cb-8b11-426,orf_eng,6.0,60.0,4,59,speechace-29s,3,14,0.5714285714285714,14,200,12,4
AA_a9c5ede9-f374-4d5,idwrd_eng,5.0,11.0,0,49,speechace-29s,4,41,0.3902439024390244,41,200,35,0
AA_a9c5ede9-f374-4d5,orf_eng,1.0,6.0,2,59,speechace-29s,5,27,0.2222222222222222,27,200,54,2
AA_aa8eabb8-8f23-448,idwrd_eng,49.0,50.0,33,49,speechace-29s,11,49,0.24489795918367346,49,200,48,33
AA_aa8eabb8-8f23-448,orf_eng,56.0,60.0,34,59,speechace-29s,14,56,0.30357142857142855,56,200,56,32
AA_aaf90938-fddb-4c4,idwrd_eng,49.0,50.0,38,49,speechace-29s,28,49,0.5918367346938775,49,200,48,38
AA_aaf90938-fddb-4c4,orf_eng,60.0,60.0,52,59,speechace-29s,26,55,0.4727272727272727,55,200,55,47
AA_ab58d9ce-9e25-42f,idwrd_eng,22.0,40.0,12,49,speechace-29s,10,24,0.3333333333333333,24,200,17,11
AA_aef46179-5917-4dd,idwrd_eng,25.0,28.0,9,49,speechace-29s,3,21,0.09523809523809523,21,200,39,9
AA_aef46179-5917-4dd,orf_eng,1.0,5.0,4,59,speechace-29s,8,31,0.3225806451612903,31,200,55,4
AA_b041c30a-d404-49f,idwrd_eng,1.0,5.0,0,49,speechace-29s,5,19,0.3684210526315789,19,200,45,0
AA_b041c30a-d404-49f,orf_eng,0.0,5.0,1,59,speechace-29s,2,14,0.21428571428571427,14,200,54,1
AA_b11dfafb-fc92-462,idwrd_eng,22.0,26.0,1,49,speechace-29s,2,13,0.15384615384615385,13,200,37,2
AA_b11dfafb-fc92-462,orf_eng,0.0,5.0,7,59,speechace-29s,4,15,0.4666666666666667,15,200,54,5
AA_b20398e6-b319-4ad,idwrd_eng,9.0,18.0,8,49,speechace-29s,6,16,0.625,16,200,20,8
AA_b20398e6-b319-4ad,orf_eng,17.0,25.0,7,59,speechace-29s,7,27,0.4074074074074074,27,200,44,7
AA_b2abea24-c5e2-478,idwrd_eng,50.0,50.0,19,49,speechace-29s,1,44,0.022727272727272728,44,200,49,19
AA_b2abea24-c5e2-478,orf_eng,60.0,60.0,47,59,speechace-29s,10,51,0.19607843137254902,51,200,51,47
AA_b47c2091-d93e-49d,idwrd_eng,49.0,49.0,32,49,speechace-29s,10,45,0.2222222222222222,45,200,49,30
AA_b47c2091-d93e-49d,orf_eng,54.0,60.0,44,59,speechace-29s,12,34,0.4117647058823529,34,200,31,22
AA_b68b3349-98b4-4c6,idwrd_eng,5.0,9.0,1,49,speechace-29s,2,25,0.36,25,200,40,0
AA_b68b3349-98b4-4c6,orf_eng,0.0,5.0,2,59,speechace-29s,11,29,0.3448275862068966,29,200,54,2
AA_b7acd1f0-8ee8-404,idwrd_eng,0.0,5.0,7,49,speechace-29s,4,46,0.1956521739130435,46,200,44,7
AA_b7acd1f0-8ee8-404,orf_eng,0.0,5.0,6,59,speechace-29s,9,23,0.5217391304347826,23,200,54,6
AA_ba957417-5e7b-491,idwrd_eng,6.0,17.0,8,15,speechace-29s,4,15,0.4666666666666667,15,200,11,3
AA_bc0e09c8-aae5-466,idwrd_eng,28.0,32.0,7,49,speechace-29s,4,15,0.4666666666666667,15,200,45,7
AA_bc0e09c8-aae5-466,orf_eng,0.0,5.0,4,59,speechace-29s,5,15,0.4,15,200,54,4
AA_bd035dbb-e421-480,idwrd_eng,45.0,50.0,3,49,speechace-29s,8,49,0.2653061224489796,49,200,44,3
AA_bd035dbb-e421-480,orf_eng,55.0,60.0,46,59,speechace-29s,13,52,0.23076923076923078,52,200,49,44
AA_bd2f2910-0953-45a,idwrd_eng,0.0,5.0,0,49,speechace-29s,8,49,0.2653061224489796,49,200,44,0
AA_bd2f2910-0953-45a,orf_eng,0.0,5.0,4,59,speechace-29s,3,15,0.4,15,200,54,4
AA_be2450d2-2128-493,idwrd_eng,38.0,47.0,9,43,speechace-29s,3,28,0.17857142857142858,28,200,39,9
AA_be2450d2-2128-493,orf_eng,45.0,60.0,21,59,speechace-29s,7,15,0.4666666666666667,15,200,45,4
AA_be261198-6c5f-4b9,idwrd_eng,0.0,5.0,0,49,speechace-29s,3,10,0.6,10,200,44,0
AA_bee0235b-f2cd-42b,idwrd_eng,25.0,28.0,27,33,speechace-29s,9,17,0.5294117647058824,17,200,15,12
AA_bee0235b-f2cd-42b,orf_eng,0.0,5.0,3,59,speechace-29s,5,8,0.25,8,200,54,3
AA_bf833efb-b7bf-4a0,idwrd_eng,0.0,6.0,0,49,speechace-29s,1,9,0.5555555555555556,9,200,43,0
